sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
"That meme is classic, AYBABTU!",AYBABTU,slang,genz_brainrot_slang,1,0
Please send me the document AYEC.,AYEC,slang,genz_brainrot_slang,1,0
"You can go ahead, but AYOR!",AYOR,slang,genz_brainrot_slang,1,0
"Why would you do that, AYSOS?",AYSOS,slang,genz_brainrot_slang,1,0
AYS? I can’t believe it!,AYS,slang,genz_brainrot_slang,1,0
AYT? Haven’t heard from you.,AYT,slang,genz_brainrot_slang,1,0
AYTMTB? What’s the point?,AYTMTB,slang,genz_brainrot_slang,1,0
AYV? Time to get up!,AYV,slang,genz_brainrot_slang,1,0
"It’s all good now, AYW.",AYW,slang,genz_brainrot_slang,1,0
I’ll do it AYW.,AYW,slang,genz_brainrot_slang,1,0
"He’s AZN, right?",AZN,slang,genz_brainrot_slang,1,0
I’ll be B in a sec.,B,slang,genz_brainrot_slang,1,0
Just B yourself!,B,slang,genz_brainrot_slang,1,0
He got B& from the forum.,B&,slang,genz_brainrot_slang,1,0
Our company focuses on B2B sales.,B2B,slang,genz_brainrot_slang,1,0
We need to boost our B2C strategy.,B2C,slang,genz_brainrot_slang,1,0
"Break’s over, B2W.",B2W,slang,genz_brainrot_slang,1,0
"Don’t take the B8, it’s a trap!",B8,slang,genz_brainrot_slang,1,0
"Quiet, B9!",B9,slang,genz_brainrot_slang,1,0
My B/F is meeting me later.,B/F,slang,genz_brainrot_slang,0,1
Give me the B/G on that.,B/G,slang,genz_brainrot_slang,0,1
Let’s meet B4 the event.,B4,slang,genz_brainrot_slang,1,0
"Gotta go, B4N!",B4N,slang,genz_brainrot_slang,1,0
I was BAG laughing at that joke!,BAG,slang,genz_brainrot_slang,1,0
That move was BA!,BA,slang,genz_brainrot_slang,1,0
You’re my BAE.,BAE,slang,genz_brainrot_slang,1,0
"Hey BAE, what’s up?",BAE,slang,genz_brainrot_slang,1,0
"This is my BAFO, take it or leave it.",BAFO,slang,genz_brainrot_slang,1,0
"BRB, BAK in 5.",BAK,slang,genz_brainrot_slang,1,0
That was such a BAM move.,BAM,slang,genz_brainrot_slang,1,0
He handled that like a BAMF!,BAMF,slang,genz_brainrot_slang,1,0
BAO of the changes in the schedule.,BAO,slang,genz_brainrot_slang,1,0
He had a BAS after hearing the good news.,BAS,slang,genz_brainrot_slang,1,0
Her outfit is so BASIC.,BASIC,slang,genz_brainrot_slang,1,0
"Finally finished the project, BASOR!",BASOR,slang,genz_brainrot_slang,1,0
"After the meeting, it was BAU.",BAU,slang,genz_brainrot_slang,1,0
Good luck! BAY!,BAY,slang,genz_brainrot_slang,1,0
"I’m stepping out, BB in 10.",BB,slang,genz_brainrot_slang,1,0
Big data feels like BB is watching.,BB,slang,genz_brainrot_slang,1,0
"Hey BB, miss you!",BB,slang,genz_brainrot_slang,1,0
This new project is a BBC.,BBC,slang,genz_brainrot_slang,1,0
"Gotta run, BBIAB!",BBIAB,slang,genz_brainrot_slang,1,0
"I’m heading to the store, BBIAF.",BBIAF,slang,genz_brainrot_slang,1,0
"Hold on, BBIAM.",BBIAM,slang,genz_brainrot_slang,1,0
"Let me grab some water, BBIAS.",BBIAS,slang,genz_brainrot_slang,1,0
"I have to run some errands, BBL.",BBL,slang,genz_brainrot_slang,1,0
"Time for me to head out, BBN!",BBN,slang,genz_brainrot_slang,1,0
We’re having a BBQ this weekend!,BBQ,slang,genz_brainrot_slang,1,0
"I’m taking a quick break, BBS.",BBS,slang,genz_brainrot_slang,1,0
"Work’s done for today, BBT.",BBT,slang,genz_brainrot_slang,1,0
I’m late BC traffic was crazy.,BC,slang,genz_brainrot_slang,1,0
I’m leaving early B/C I have an appointment.,B/C,slang,genz_brainrot_slang,0,1
"Don’t worry about it, just BC.",BC,slang,genz_brainrot_slang,1,0
"It was nice catching up, BCNU!",BCNU,slang,genz_brainrot_slang,1,0
I’m heading home early BCOS I’m tired.,BCOS,slang,genz_brainrot_slang,1,0
I think I have a BCO that new guy.,BCO,slang,genz_brainrot_slang,1,0
I didn’t know you had a BCOY!,BCOY,slang,genz_brainrot_slang,1,0
"It’s not that hard, no BD.",BD,slang,genz_brainrot_slang,1,0
My BDAY is next week!,BDAY,slang,genz_brainrot_slang,1,0
Happy B-DAY!,B-DAY,slang,genz_brainrot_slang,1,0
That’s a BDN to solve!,BDN,slang,genz_brainrot_slang,1,0
He looked at me with a BEG after pulling the prank.,BEG,slang,genz_brainrot_slang,1,0
My main character in WoW is a BELF.,BELF,slang,genz_brainrot_slang,1,0
I’m meeting my BF for dinner.,BF,slang,genz_brainrot_slang,1,0
I totally had a BF during that meeting.,BF,slang,genz_brainrot_slang,1,0
He’s my BFAW; we have lunch together every day.,BFAW,slang,genz_brainrot_slang,1,0
I’m playing BF2 tonight.,BF2,slang,genz_brainrot_slang,1,0
My BF and I have known each other for years.,BF,slang,genz_brainrot_slang,1,0
"She’s my BFF, we tell each other everything.",BFF,slang,genz_brainrot_slang,1,0
We’ve been BFFL since high school.,BFFL,slang,genz_brainrot_slang,1,0
"Even though we’re miles apart, we’re BFFLNMW.",BFFLNMW,slang,genz_brainrot_slang,1,0
"It’s not that hard, no BFD.",BFD,slang,genz_brainrot_slang,1,0
She gave me a BFG when I told her the news.,BFG,slang,genz_brainrot_slang,1,0
"We’re not as close anymore, just BFFN.",BFFN,slang,genz_brainrot_slang,1,0
"Got to go, BFN!",BFN,slang,genz_brainrot_slang,1,0
He walked in with a BG after winning the game.,BG,slang,genz_brainrot_slang,1,0
"It’s my first time here, BGWM!",BGWM,slang,genz_brainrot_slang,1,0
"Running late, BHL8 tonight.",BHL8,slang,genz_brainrot_slang,1,0
"Gotta go, BIB.",BIB,slang,genz_brainrot_slang,1,0
"Had too many beers last night, you know how it is, BIBO!",BIBO,slang,genz_brainrot_slang,1,0
It’s time to get BIC and finish this report.,BIC,slang,genz_brainrot_slang,1,0
"BIF, don’t forget the meeting at 3!",BIF,slang,genz_brainrot_slang,1,0
"I’m so mad at him, he can BIH.",BIH,slang,genz_brainrot_slang,1,0
I’m hanging out with my BIL this weekend.,BIL,slang,genz_brainrot_slang,1,0
"BRB, BIO.",BIO,slang,genz_brainrot_slang,1,0
"BION, I actually won the lottery!",BION,slang,genz_brainrot_slang,1,0
"I don’t care what you think, BIOYA.",BIOYA,slang,genz_brainrot_slang,1,0
"You’re being ridiculous, BIOYN.",BIOYN,slang,genz_brainrot_slang,1,0
That new sword is BIS for my character.,BIS,slang,genz_brainrot_slang,1,0
The news about the merger is BISFLATM for now.,BISFLATM,slang,genz_brainrot_slang,1,0
"We’re waiting for the results, BITMT, let’s finish the other tasks.",BITMT,slang,genz_brainrot_slang,1,0
That joke gave me a BL!,BL,slang,genz_brainrot_slang,1,0
"Didn’t win the game, BLNT!",BLNT,slang,genz_brainrot_slang,1,0
"If you don’t like it, BM!",BM,slang,genz_brainrot_slang,1,0
"BME, that’s not how it usually works.",BME,slang,genz_brainrot_slang,1,0
"BM&Y, I think she’s going to quit soon.",BM&Y,slang,genz_brainrot_slang,0,1
"That’s my seat, BOB!",BOB,slang,genz_brainrot_slang,1,0
Got some BN about the project.,BN,slang,genz_brainrot_slang,1,0
I just found a BOE item in the dungeon.,BOE,slang,genz_brainrot_slang,1,0
Another round of layoffs? BOHICA.,BOHICA,slang,genz_brainrot_slang,1,0
BOL on your new job!,BOL,slang,genz_brainrot_slang,1,0
"I’m late BOM, I had a meeting.",BOM,slang,genz_brainrot_slang,1,0
BOLO for the new shipment tomorrow.,BOLO,slang,genz_brainrot_slang,1,0
This meeting is making me BOOMS.,BOOMS,slang,genz_brainrot_slang,1,0
"This sword is BOP, so I have to decide if I want it.",BOP,slang,genz_brainrot_slang,1,0
That video had me BOSMKL!,BOSMKL,slang,genz_brainrot_slang,1,0
"Okay, BOT, what’s the next agenda item?",BOT,slang,genz_brainrot_slang,1,0
"I’m BOT, working on it now.",BOT,slang,genz_brainrot_slang,1,0
"You’re so gorgeous, you BMS!",BMS,slang,genz_brainrot_slang,1,0
My BOYF is meeting me for dinner.,BOYF,slang,genz_brainrot_slang,1,0
"He’s all talk, just a BPLM.",BPLM,slang,genz_brainrot_slang,1,0
"Need to grab something, BRB.",BRB,slang,genz_brainrot_slang,1,0
"Looking forward to the meeting, BR.",BR,slang,genz_brainrot_slang,1,0
"Hold on, BRBB!",BRBB,slang,genz_brainrot_slang,1,0
"Need a quick break, BRNC.",BRNC,slang,genz_brainrot_slang,1,0
I’m so BRD at work today.,BRD,slang,genz_brainrot_slang,1,0
I’ll BRH if you need anything.,BRH,slang,genz_brainrot_slang,1,0
"On my way, BRT!",BRT,slang,genz_brainrot_slang,1,0
"BSF, let’s get back to the point.",BSF,slang,genz_brainrot_slang,1,0
My computer just hit me with the BSOD!,BSOD,slang,genz_brainrot_slang,1,0
"I’m bringing an extra charger, BSTS.",BSTS,slang,genz_brainrot_slang,1,0
"If you don’t like my idea, BT.",BT,slang,genz_brainrot_slang,1,0
"We’re currently BT, transitioning our systems.",BT,slang,genz_brainrot_slang,1,0
"It seems like a good idea, BTA, it might not work out.",BTA,slang,genz_brainrot_slang,1,0
"Oh, another road trip? BTDT.",BTDT,slang,genz_brainrot_slang,1,0
"BTW, did you see the new episode?",BTW,slang,genz_brainrot_slang,1,0
I got a BTYCL last night.,BTYCL,slang,genz_brainrot_slang,1,0
"She's absolutely stunning, a real BUBU.",BUBU,slang,genz_brainrot_slang,1,0
That was a sick BURN during the debate!,BURN,slang,genz_brainrot_slang,1,0
The mage class got a Buff in the new update.,Buff,slang,genz_brainrot_slang,1,0
That joke had me BWL!,BWL,slang,genz_brainrot_slang,1,0
"We’re having a party this weekend, BYOB!",BYOB,slang,genz_brainrot_slang,1,0
"The LAN party is BYOC, so don’t forget your setup!",BYOC,slang,genz_brainrot_slang,1,0
"Our company is BYOD, so you can use your own laptop.",BYOD,slang,genz_brainrot_slang,1,0
"If you mess up again, I’ll BYOH!",BYOH,slang,genz_brainrot_slang,1,0
We’re going to the BYOP field this weekend.,BYOP,slang,genz_brainrot_slang,1,0
"That meeting sounds rough, BYTM!",BYTM,slang,genz_brainrot_slang,1,0
That joke made me C&G.,C&G,slang,genz_brainrot_slang,0,1
"I’ve got to run, C4N!",C4N,slang,genz_brainrot_slang,1,0
"My computer froze, time for a CAD.",CAD,slang,genz_brainrot_slang,1,0
I met a CAD at the conference.,CAD,slang,genz_brainrot_slang,1,0
Happy Cakeday! Hope you have a great one!,Cakeday,slang,genz_brainrot_slang,1,0
Turn on your CAM for the meeting.,CAM,slang,genz_brainrot_slang,1,0
"I’m heading out for a CB, anyone joining?",CB,slang,genz_brainrot_slang,1,0
Let’s take a quick CB and catch up.,CB,slang,genz_brainrot_slang,1,0
That party last night was CB!,CB,slang,genz_brainrot_slang,1,0
"I can’t talk right now, CD9.",CD9,slang,genz_brainrot_slang,1,0
CFS? I have some juicy gossip.,CFS,slang,genz_brainrot_slang,1,0
"Hey, CFY! Need your help with something.",CFY,slang,genz_brainrot_slang,1,0
Can you CHK if the report is ready?,CHK,slang,genz_brainrot_slang,1,0
"Heading out now, CIAO!",CIAO,slang,genz_brainrot_slang,1,0
"Too much caffeine, CICO time!",CICO,slang,genz_brainrot_slang,1,0
"After that presentation, I’m CID.",CID,slang,genz_brainrot_slang,1,0
Need help with that? CID.,CID,slang,genz_brainrot_slang,1,0
I was CLAB during that sad movie.,CLAB,slang,genz_brainrot_slang,1,0
I CLD help you with that later.,CLD,slang,genz_brainrot_slang,1,0
Just CLK here to sign up.,CLK,slang,genz_brainrot_slang,1,0
"I need to talk, CM when you’re free.",CM,slang,genz_brainrot_slang,1,0
Can you be my CMAP during the meeting?,CMAP,slang,genz_brainrot_slang,1,0
"Missed your call, CMB when you can.",CMB,slang,genz_brainrot_slang,1,0
She’s the CMGR for our online forum.,CMGR,slang,genz_brainrot_slang,1,0
"CMIIW, but isn’t the meeting tomorrow?",CMIIW,slang,genz_brainrot_slang,1,0
"CMON, you can’t be serious!",CMON,slang,genz_brainrot_slang,1,0
"This story is too long, CNP!",CNP,slang,genz_brainrot_slang,1,0
We need the report by COB today.,COB,slang,genz_brainrot_slang,1,0
I’m logging into COH tonight.,COH,slang,genz_brainrot_slang,1,0
I’m staying in COS it’s raining.,COS,slang,genz_brainrot_slang,1,0
I’ll C/P this to the other forum too.,C/P,slang,genz_brainrot_slang,0,1
I’ll respond to your CP later.,CP,slang,genz_brainrot_slang,1,0
I’m trying to CR8 a new design.,CR8,slang,genz_brainrot_slang,1,0
That concert was totally Cray!,Cray,slang,genz_brainrot_slang,1,0
I’m going to CRE8 a new logo.,CRE8,slang,genz_brainrot_slang,1,0
That party was CRA CRA!,CRA CRA,slang,genz_brainrot_slang,0,1
"I’ve been studying all night, but now I CRAFT!",CRAFT,slang,genz_brainrot_slang,1,0
"I just need to grab something, CRB.",CRB,slang,genz_brainrot_slang,1,0
That movie had me CRBT at the end.,CRBT,slang,genz_brainrot_slang,1,0
I landed a CRIT on the boss!,CRIT,slang,genz_brainrot_slang,1,0
That rollercoaster was CRZ!,CRZ,slang,genz_brainrot_slang,1,0
"I’ve got CRS lately, where did I put my keys?",CRS,slang,genz_brainrot_slang,1,0
That meme got a CSG out of me.,CSG,slang,genz_brainrot_slang,1,0
"That joke was hilarious, I CSL!",CSL,slang,genz_brainrot_slang,1,0
I’m going to hop on CSS tonight for some games.,CSS,slang,genz_brainrot_slang,1,0
"CT now, call you later.",CT,slang,genz_brainrot_slang,1,0
"Hey, CTC for a bit?",CTC,slang,genz_brainrot_slang,1,0
That video had me CTHU!,CTHU,slang,genz_brainrot_slang,1,0
"CTN, I’m in a meeting.",CTN,slang,genz_brainrot_slang,1,0
"CTO, you have to see this!",CTO,slang,genz_brainrot_slang,1,0
CU later!,CU,slang,genz_brainrot_slang,1,0
I’ll CU after work.,CU,slang,genz_brainrot_slang,1,0
"Take care, CU2 soon!",CU2,slang,genz_brainrot_slang,1,0
"Alright, CUA!",CUA,slang,genz_brainrot_slang,1,0
"Gotta go, CUL!",CUL,slang,genz_brainrot_slang,1,0
"Heading out, CULA!",CULA,slang,genz_brainrot_slang,1,0
"Talk to you soon, CUL8R!",CUL8R,slang,genz_brainrot_slang,1,0
"Goodnight, CUMID!",CUMID,slang,genz_brainrot_slang,1,0
"I’ll CURLO, don’t be a stranger!",CURLO,slang,genz_brainrot_slang,1,0
Check out the doc and CWD.,CWD,slang,genz_brainrot_slang,1,0
That meeting was a total CWOT.,CWOT,slang,genz_brainrot_slang,1,0
"I’m logging off, CWYL!",CWYL,slang,genz_brainrot_slang,1,0
"Oops, CX: the meeting is tomorrow.",CX,slang,genz_brainrot_slang,1,0
"It’s late, CYA!",CYA,slang,genz_brainrot_slang,1,0
"Got to go, CYAL8R!",CYAL8R,slang,genz_brainrot_slang,1,0
"I sent you the details, CYE!",CYE,slang,genz_brainrot_slang,1,0
"It’s a surprise, CYEP!",CYEP,slang,genz_brainrot_slang,1,0
I’ll CYO for the game later.,CYO,slang,genz_brainrot_slang,1,0
I’ll give you a D2 when I’m ready.,D2,slang,genz_brainrot_slang,1,0
Are you D46?,D46?,slang,genz_brainrot_slang,1,0
Let’s head to DA movies.,DA,slang,genz_brainrot_slang,1,0
DAE feel like today’s been really long?,DAE,slang,genz_brainrot_slang,1,0
DAFUQ just happened there?,DAFUQ,slang,genz_brainrot_slang,1,0
"I’m busy, DAM!",DAM,slang,genz_brainrot_slang,1,0
I’m playing DAoC this weekend.,DAoC,slang,genz_brainrot_slang,1,0
"Even with the changes, we’re DBAU here.",DBAU,slang,genz_brainrot_slang,1,0
"Be careful online, DBEYR.",DBEYR,slang,genz_brainrot_slang,1,0
I got DC’d from the server!,DC,slang,genz_brainrot_slang,1,0
My DD is starting school this year.,DD,slang,genz_brainrot_slang,1,0
Make sure you do your DD before investing.,DD,slang,genz_brainrot_slang,1,0
She looked absolutely DDG in that dress.,DDG,slang,genz_brainrot_slang,1,0
"You walked right into that one, DEEZ NUTZ!",DEEZ NUTZ,slang,genz_brainrot_slang,0,1
My DEGT loves playing soccer.,DEGT,slang,genz_brainrot_slang,1,0
"I forgot my keys again, DERP.",DERP,slang,genz_brainrot_slang,1,0
"I’m not talking about that, DF!",DF,slang,genz_brainrot_slang,1,0
"I finished the race DFL, but at least I finished!",DFL,slang,genz_brainrot_slang,1,0
"I’ll be right back, DGA!",DGA,slang,genz_brainrot_slang,1,0
He DGAF about what people think.,DGAF,slang,genz_brainrot_slang,1,0
"We’re not talking about that, DGT.",DGT,slang,genz_brainrot_slang,1,0
"You did not just say that, DGTG!",DGTG,slang,genz_brainrot_slang,1,0
"Saw you at the party last night, DGYF!",DGYF,slang,genz_brainrot_slang,1,0
My DH is cooking dinner tonight.,DH,slang,genz_brainrot_slang,1,0
Thanks for the DHU during the tough times.,DHU,slang,genz_brainrot_slang,1,0
What’s the answer to this problem? DIIK.,DIIK,slang,genz_brainrot_slang,1,0
"Hey, DIKU? You look familiar.",DIKU,slang,genz_brainrot_slang,1,0
"You can complain all you want, but DILLIGAF.",DILLIGAF,slang,genz_brainrot_slang,1,0
You think that bothers me? DILLIGAS.,DILLIGAS,slang,genz_brainrot_slang,1,0
DIS I wouldn’t help you? Think again.,DIS,slang,genz_brainrot_slang,1,0
DITYID about how stressful work has been?,DITYID,slang,genz_brainrot_slang,1,0
"If you want it done right, just DIY.",DIY,slang,genz_brainrot_slang,1,0
What’s happening in the news today? DKDC.,DKDC,slang,genz_brainrot_slang,1,0
I earned a ton of DKP during the raid.,DKP,slang,genz_brainrot_slang,1,0
I’m waiting for the new game to D/L.,D/L,slang,genz_brainrot_slang,0,1
The file is taking forever to DL.,DL,slang,genz_brainrot_slang,1,0
"Keep this on the DL, it’s a secret.",DL,slang,genz_brainrot_slang,1,0
"I clicked the article, but it was a DL.",DL,slang,genz_brainrot_slang,1,0
Goodnight! DLBBB!,DLBBB,slang,genz_brainrot_slang,1,0
"Sleep well, DLTBBB!",DLTBBB,slang,genz_brainrot_slang,1,0
It DM whether we go now or later.,DM,slang,genz_brainrot_slang,1,0
I’ll DM you the details later.,DM,slang,genz_brainrot_slang,1,0
Can you DM a favor and pass me that?,DM,slang,genz_brainrot_slang,1,0
Our DM is preparing a new campaign for tonight.,DM,slang,genz_brainrot_slang,1,0
"DMNO, but that was a weird thing to say.",DMNO,slang,genz_brainrot_slang,1,0
"That movie wasn’t scary at all, DMY!",DMY,slang,genz_brainrot_slang,1,0
I’m DN to hang out later.,DN,slang,genz_brainrot_slang,1,0
What did you mean by that? DNC.,DNC,slang,genz_brainrot_slang,1,0
Let’s grab DNR tonight.,DNR,slang,genz_brainrot_slang,1,0
DNT forget to bring the tickets!,DNT,slang,genz_brainrot_slang,1,0
"What’s up, d00d?",d00d,slang,genz_brainrot_slang,1,0
"She’s a true DOE, always kind and caring.",DOE,slang,genz_brainrot_slang,1,0
That puppy is so DORBS!,DORBS,slang,genz_brainrot_slang,1,0
I applied a DOT spell during the boss fight.,DOT,slang,genz_brainrot_slang,1,0
"My comment got a downvote, guess it wasn’t popular.",Downvote,slang,genz_brainrot_slang,1,0
I’m playing a DPS role in the raid.,DPS,slang,genz_brainrot_slang,1,0
"I think the meeting is tomorrow, but DQMOT.",DQMOT,slang,genz_brainrot_slang,1,0
"DR, what’s the summary?",DR,slang,genz_brainrot_slang,1,0
My DS is coming home from college this weekend.,DS,slang,genz_brainrot_slang,1,0
"We need to DTR, are we just friends or more?",DTR,slang,genz_brainrot_slang,1,0
"Even if it’s hard, always DTRT.",DTRT,slang,genz_brainrot_slang,1,0
Are you coming to the party? DTS.,DTS,slang,genz_brainrot_slang,1,0
"We’ll be right back, DTTD!",DTTD,slang,genz_brainrot_slang,1,0
I accidentally made a DUPE of the file.,DUPE,slang,genz_brainrot_slang,1,0
DUR that trip we took last year?,DUR,slang,genz_brainrot_slang,1,0
Let’s not DV8 from the original plan.,DV8,slang,genz_brainrot_slang,1,0
My DW planned a surprise for my birthday.,DW,slang,genz_brainrot_slang,1,0
She’s listed as a DWF in the profile.,DWF,slang,genz_brainrot_slang,1,0
He’s a DWM looking for a new start.,DWM,slang,genz_brainrot_slang,1,0
I had to check the DXNRY to figure out what that word meant.,DXNRY,slang,genz_brainrot_slang,1,0
"You keep saying that, but DYNWUTB?",DYNWUTB,slang,genz_brainrot_slang,1,0
"You were looking for your keys, DYFI?",DYFI,slang,genz_brainrot_slang,1,0
"The way you explain things, DYFM!",DYFM,slang,genz_brainrot_slang,1,0
DYJHIW you lose your keys right when you need them?,DYJHIW,slang,genz_brainrot_slang,1,0
"Before you invest, make sure to DYOR.",DYOR,slang,genz_brainrot_slang,1,0
She was at the club on E last night.,E,slang,genz_brainrot_slang,1,0
"Watch out, E approaching from the left!",E,slang,genz_brainrot_slang,1,0
E1 needs to be ready by 5 PM.,E1,slang,genz_brainrot_slang,1,0
"Don’t worry about it, it’s E123!",E123,slang,genz_brainrot_slang,1,0
"After hearing the good news, I had an E2EG.",E2EG,slang,genz_brainrot_slang,1,0
"I’ll reply in a bit, I’m EAK right now.",EAK,slang,genz_brainrot_slang,1,0
"It’s not a tech issue, just an EBKAC!",EBKAC,slang,genz_brainrot_slang,1,0
I accidentally hit ED and lost my work.,ED,slang,genz_brainrot_slang,1,0
That took a lot of EF4T to complete.,EF4T,slang,genz_brainrot_slang,1,0
He gave me an EG after pulling that prank.,EG,slang,genz_brainrot_slang,1,0
"I told him he’d fail, and he totally had to EI.",EI,slang,genz_brainrot_slang,1,0
"The blog post is still EIP, I’ll send it when it’s ready.",EIP,slang,genz_brainrot_slang,1,0
Can you ELI5 how blockchain works?,ELI5,slang,genz_brainrot_slang,1,0
I’ll send you the details via EM.,EM,slang,genz_brainrot_slang,1,0
What’s your EMA so I can send the files?,EMA,slang,genz_brainrot_slang,1,0
That mistake was so EMBAR!,EMBAR,slang,genz_brainrot_slang,1,0
"EMFBI, but I think you’re mistaken about that.",EMFBI,slang,genz_brainrot_slang,1,0
"EMFBI, can I add something here?",EMFBI,slang,genz_brainrot_slang,1,0
I sent you an EMSG this morning.,EMSG,slang,genz_brainrot_slang,1,0
"That’s ENUF, let’s move on.",ENUF,slang,genz_brainrot_slang,1,0
Please submit the report by EOD.,EOD,slang,genz_brainrot_slang,1,0
"We’ve already decided, EOD.",EOD,slang,genz_brainrot_slang,1,0
"That’s all for today, EOL.",EOL,slang,genz_brainrot_slang,1,0
This software is nearing its EOL.,EOL,slang,genz_brainrot_slang,1,0
"Meeting moved to 3 PM, EOM.",EOM,slang,genz_brainrot_slang,1,0
We’ll talk after EOS.,EOS,slang,genz_brainrot_slang,1,0
"I’ve sent all the data, EOT.",EOT,slang,genz_brainrot_slang,1,0
I used to play EQ all the time.,EQ,slang,genz_brainrot_slang,1,0
He’s into ERP in online games.,ERP,slang,genz_brainrot_slang,1,0
ERS2? I can’t believe that happened!,ERS2,slang,genz_brainrot_slang,1,0
I accidentally hit ES and lost all my work.,ES,slang,genz_brainrot_slang,1,0
"I was so mad, I told him to ESAD.",ESAD,slang,genz_brainrot_slang,1,0
What’s your ETA? The meeting starts soon.,ETA,slang,genz_brainrot_slang,1,0
ETA: I just found the missing files.,ETA,slang,genz_brainrot_slang,1,0
That was the best movie EVA!,EVA,slang,genz_brainrot_slang,1,0
The EVO of technology is fascinating.,EVO,slang,genz_brainrot_slang,1,0
He was EWG me about my new haircut.,EWG,slang,genz_brainrot_slang,1,0
"I sent an embarrassing email last night, totally EWI.",EWI,slang,genz_brainrot_slang,1,0
"Her outfit was so EXTRA, but I loved it!",EXTRA,slang,genz_brainrot_slang,1,0
"She handled the news EYC, excited but not overwhelmed.",EYC,slang,genz_brainrot_slang,1,0
"That task was EZ, no problem!",EZ,slang,genz_brainrot_slang,1,0
The instructions were super EZY to follow.,EZY,slang,genz_brainrot_slang,1,0
The gamer I met was an F.,F,slang,genz_brainrot_slang,1,0
Let’s meet F2F to discuss the details.,F2F,slang,genz_brainrot_slang,1,0
"That new game is F2P, so everyone can try it.",F2P,slang,genz_brainrot_slang,1,0
I’ll F4F if you’re interested!,F4F,slang,genz_brainrot_slang,1,0
I’ve been working for hours and I’m FAAK right now.,FAAK,slang,genz_brainrot_slang,1,0
You look absolutely FAB tonight!,FAB,slang,genz_brainrot_slang,1,0
"I forgot my wallet at home, facepalm.",Facepalm,slang,genz_brainrot_slang,1,0
That video was FAF!,FAF,slang,genz_brainrot_slang,1,0
"What’s up, FAM? Let’s hang out this weekend.",FAM,slang,genz_brainrot_slang,1,0
Check out the FAQ before you ask any questions.,FAQ,slang,genz_brainrot_slang,1,0
"I’m done with this nonsense, FAY!",FAY,slang,genz_brainrot_slang,1,0
Add me on FB!,FB,slang,genz_brainrot_slang,1,0
"She’s my FBB, we met through a group.",FBB,slang,genz_brainrot_slang,1,0
I’ll FBC you later about the event.,FBC,slang,genz_brainrot_slang,1,0
"Here’s a pic from my trip last year, #FBF.",FBF,slang,genz_brainrot_slang,1,0
"Pizza and wings, time for some FBF!",FBF,slang,genz_brainrot_slang,1,0
"He’s just an FBFR, we don’t talk much.",FBFR,slang,genz_brainrot_slang,1,0
"If you want to skip the movie, FBM.",FBM,slang,genz_brainrot_slang,1,0
We’re finally FBO—changed our relationship status!,FBO,slang,genz_brainrot_slang,1,0
"We’re in this together, FBOW.",FBOW,slang,genz_brainrot_slang,1,0
FC that I get the job!,FC,slang,genz_brainrot_slang,1,0
"I’ve got an FC today, can’t take any more meetings.",FC,slang,genz_brainrot_slang,1,0
"FC’INGO, just tell me the answer already!",FC’INGO,slang,genz_brainrot_slang,1,0
"FCOL, why is this taking so long?",FCOL,slang,genz_brainrot_slang,1,0
"Lost the game, feelsbadman.",Feelsbadman,slang,genz_brainrot_slang,1,0
"Got rejected for the third time, feelsbatman.",Feelsbatman,slang,genz_brainrot_slang,1,0
"Just finished my project early, feelsgoodman.",Feelsgoodman,slang,genz_brainrot_slang,1,0
"If they didn’t like my joke, FEITCTAJ.",FEITCTAJ,slang,genz_brainrot_slang,1,0
Shoutout to my favorite accounts for #FF!,FF,slang,genz_brainrot_slang,1,0
"It’s an FFA in the chat, anything goes!",FFA,slang,genz_brainrot_slang,1,0
"FFS, can we please get this done?",FFS,slang,genz_brainrot_slang,1,0
"You can complain all you want, FICCL.",FICCL,slang,genz_brainrot_slang,1,0
"Just made the best joke, FIF!",FIF,slang,genz_brainrot_slang,1,0
How does this work? FIIK!,FIIK,slang,genz_brainrot_slang,1,0
"This meeting is going nowhere, FIIOOH.",FIIOOH,slang,genz_brainrot_slang,1,0
My FIL is visiting this weekend.,FIL,slang,genz_brainrot_slang,1,0
"You’ll always be FIMH, no matter what.",FIMH,slang,genz_brainrot_slang,1,0
"I’m finna grab some food, you want anything?",Finna,slang,genz_brainrot_slang,1,0
"She posted it on her finsta, not her main account.",Finsta,slang,genz_brainrot_slang,1,0
"Been working all day, FISH.",FISH,slang,genz_brainrot_slang,1,0
"The answer is easy, just FITB.",FITB,slang,genz_brainrot_slang,1,0
"Spilled coffee all over my laptop, FML.",FML,slang,genz_brainrot_slang,1,0
That joke had me FOMC!,FOMC,slang,genz_brainrot_slang,1,0
"I have such FOMO, everyone’s going to that concert except me.",FOMO,slang,genz_brainrot_slang,1,0
"He really made me mad, I just wanted to tell him FOAD.",FOAD,slang,genz_brainrot_slang,1,0
I heard about the party from a FOAF.,FOAF,slang,genz_brainrot_slang,1,0
That prank had me FOMCL!,FOMCL,slang,genz_brainrot_slang,1,0
"That test was tough, FRT.",FRT,slang,genz_brainrot_slang,1,0
"Thank you, FTBOMH, for everything you’ve done.",FTBOMH,slang,genz_brainrot_slang,1,0
"You said the movie was bad, but I FTFY—it’s great!",FTFY,slang,genz_brainrot_slang,1,0
"We missed the bus, FTL!",FTL,slang,genz_brainrot_slang,1,0
